
City,Number of Tracts,Total polulation,Percent Black,Percent White,Edge,Edge rank,HEdge,HEdge rank,HEdgeInfinity (True),HEdgeInfinity (True) rank,Typo HEI,Typo HEI rank,Dissimilarity,Dissimilarity rank,Gini,Gini rank,Moran's I,Moran's I rank,Population standard deviation,Degree average,Degree standard deviation,Max degree,Min degree
Albany-Schenectady-Troy_NY,254,978364.0,5.322967729801996,89.19175276277541,0.4794383581867776,41,0.5676058609536925,70,0.5981278143988966,69,0.0015157140426904974,19,0.46228658653870847,57,0.60890944493896404,58,0.5727010567777076,28,1777.3779595057497,5.0393700787401574,2.131139855456269,13.0,1.0
Ann-Arbor_MI,112,386402.0,10.675928178425577,78.81196267100067,0.4291069781119607,80,0.5526968987038394,78,0.5910187937755178,74,0.001022740079141343,49,0.43405647693819716,68,0.57873498332115592,68,0.34884976114661037,81,1474.7131378565923,4.6964285714285712,1.8556828051877259,12.0,1.0
Athens-Clarke-County_GA,62,237251.0,19.8241524798631,73.1718728266688,0.41319381617102385,90,0.5530508812939267,77,0.589686399629851,76,0.0007156719438856289,61,0.38891193176931949,82,0.53485406479657038,80,0.2857129489067269,89,1728.7623508188569,4.838709677419355,1.7338522129518308,8.0,1.0
Atlanta-Sandy-Springs-Roswell_GA,695,4263438.0,28.40128084423885,60.423278114986076,0.49953566775290204,27,0.6587497319062598,11,0.6825955206212111,14,0.00045393637111523885,93,0.55879799285490817,22,0.71155306412547503,21,0.5582065108873262,32,3376.7667089217261,5.4676258992805753,1.4647029716978286,12.0,1.0
Austin-Round-Rock_TX,277,1341220.0,7.4488898167340185,61.76443834717645,0.42063339019467594,81,0.5839671571108137,58,0.6068384844853941,64,0.00045121237642021237,94,0.41271416359366508,77,0.55005128081278698,77,0.47154342382584197,54,2315.0660681657946,5.1985559566787005,1.8578348315470037,15.0,1.0
Baton-Rouge_LA,166,805726.0,34.46792085646982,61.76640694231041,0.47345998835897507,46,0.6328129859229974,23,0.6777714471929757,16,0.0007469667392328501,58,0.53613791659552612,32,0.70103257950964337,27,0.456132055358746,60,1954.6959448349623,5.0843373493975905,2.0370355219093961,11.0,1.0
Birmingham-Hoover_AL,270,1258827.0,25.211327688395624,71.42546195783854,0.5457294561957637,9,0.6880955377939237,8,0.7211934884530875,7,0.0011093028441921064,41,0.61183583362587213,9,0.77354408953562714,8,0.6180360387454847,19,1941.5165654587183,5.2962962962962967,1.8602033902101258,11.0,1.0
Bloomington_IN,49,223574.0,1.983683254761287,93.20403982574003,0.46631594580454006,53,0.5219844512455718,92,0.5322017341743126,94,0.0017080196598617575,15,0.42428946251698435,71,0.50433110723095353,85,0.5225630008277994,39,1631.2187602827451,4.6530612244897958,2.3434757058708042,13.0,1.0
Boston-Cambridge-Newton_MA-NH,920,4391344.0,5.6366342513818095,80.73330169533519,0.4988004297853369,28,0.6221625508600115,30,0.6506842888738652,29,0.0010472404284518093,45,0.53416056617692809,33,0.6905187466699394,32,0.6329204738163707,17,1773.6891813883042,5.3347826086956518,1.6348404245095562,14.0,1.0
Boulder_CO,64,278052.0,0.8092011566181865,83.58364622444722,0.4169929990131053,87,0.5154699941422328,94,0.5314227718492603,95,0.0007136721323517373,62,0.26533247402420168,98,0.36306838142600212,98,0.20562157852454052,96,1640.6306607045201,4.875,1.5360257159305635,10.0,2.0
Bridgeport-Stamford-Norwalk_CT,241,1041144.0,8.477021430272853,74.98232713246198,0.49575639559604806,31,0.6341034318074514,22,0.675436607131326,17,0.0010319273978739345,48,0.57910372406152266,16,0.71096167615361516,22,0.5471862100899504,35,1514.9081228867344,4.9460580912863072,1.7240052218378452,11.0,0.0
Buffalo-Cheektowaga-Niagara-Falls_NY,317,1225182.0,11.021219704501044,83.08822689200461,0.5613335622626342,4,0.6806308034836733,9,0.7211154254173162,8,0.0017892206919208162,13,0.65564583464200799,4,0.79202257845939417,4,0.6532242668205831,12,1890.7070342527861,5.066246056782334,1.9043440567447925,11.0,1.0
Burlington-South-Burlington_VT,64,271704.0,0.6426110767600035,95.39646085445926,0.4691359350776318,49,0.504009322101877,100,0.506530961183789,100,0.002093252343294876,7,0.2330146293372041,100,0.30163976957245858,100,0.5813561434932945,26,1728.5202622112938,4.40625,2.5354902755680211,12.0,1.0
