
City,Number of Tracts,Total polulation,Percent Black,Percent White,Edge,Edge rank,HEdge,HEdge rank,HEdgeInfinity (True),HEdgeInfinity (True) rank,Typo HEI,Typo HEI rank,Dissimilarity,Dissimilarity rank,Gini,Gini rank,Moran's I,Moran's I rank,Population standard deviation
"Albany-Schenectady-Amsterdam, NY ",306,1139735.0,6.109929062457501,87.17815983540034,0.4759586926038411,33,0.5721489655340084,67,0.6062237834923047,64,0.0014114537925764541,15,0.48649326549051025,40,0.63470710639584083,43,0.5757667938518121,26,1637.2086736621354
Ann-Arbor_MI,127,453920.0,10.819527670074022,75.07556397603102,0.41800702722798666,84,0.5513886833676813,81,0.5789799069770413,79,0.0008368045248484139,52,0.39232023985271425,82,0.52874340133072018,81,0.3231391080101744,88,1439.7765525153695
Athens-Clarke-County_GA,46,192541.0,19.311211638040728,67.78556255550767,0.39572850404579907,98,0.5494423070262022,82,0.5914136784646823,73,0.000600864492490021,80,0.37415889274313474,87,0.51426014260808917,83,0.35978021127873805,83,1914.5160479910119
"Atlanta-Sandy Springs-Gainesville, GA-AL ",1019,5466685.0,31.846631002152126,52.96394432823548,0.4681752914355533,42,0.6372294322597547,13,0.6633684674145575,16,0.0004890595745419851,89,0.51005937750642782,34,0.67030102307942463,31,0.5731752933989589,27,2553.7648761879364
"Austin-Round Rock-Marble Falls, TX ",358,1689630.0,7.173759935607205,57.46843983594041,0.4124538721138973,90,0.5811849248936636,62,0.6006217883038784,68,0.0004166714734269212,93,0.39668624560464394,80,0.53236416706433498,80,0.47305474406519654,58,2336.5145894680213
"Baton Rouge-Pierre Part, LA ",157,813587.0,35.85013034869043,59.09017720292974,0.46395878741837016,47,0.6255885695928723,21,0.6682424243854965,14,0.0005980479503929312,81,0.52637749135451772,25,0.69186784188739714,23,0.3617980879251349,81,2361.9107588209558
"Birmingham-Hoover-Cullman, AL ",282,1190502.0,26.69798118776785,67.88934415901863,0.51688894284647,9,0.6660995443370886,8,0.6897389103284605,7,0.000897768573779907,46,0.59099410485537873,8,0.74649876189375786,8,0.5891549512803242,19,1886.359897659461
Bloomington_IN,52,236620.0,2.4008959513143435,90.2696306313921,0.4490012869138733,61,0.5245391681665412,92,0.537703274324069,94,0.001218577645078574,23,0.41346536428568537,73,0.49099722311424993,88,0.5372873675480682,43,1245.0241448669883
"Boston-Worcester-Manchester, MA-RI-NH ",1679,7339152.0,5.546022210740423,80.01929923239088,0.4898198218079972,22,0.6137539419407325,27,0.6434453890296506,28,0.0010907852256511117,34,0.51400298476902395,31,0.67103885743023373,30,0.6032087714724232,18,1648.5073245049014
Boulder_CO,89,369978.0,0.7286919762796708,80.8402121207207,0.4057609804731706,92,0.5176097542355979,93,0.5378051326190756,93,0.0006644539942881836,69,0.27436801784266313,98,0.36851521212154881,98,0.10307585163332843,100,1923.6920632334072
Bridgeport-Stamford-Norwalk_CT,241,1072227.0,9.007141211702372,68.17707444412424,0.47941185175818446,30,0.6327036414164716,19,0.6690512939956733,13,0.0008507359620149751,50,0.54748981355651449,17,0.67705688965326838,28,0.5849273161009777,21,1501.4010506035797
"Buffalo-Niagara-Cattaraugus, NY ",318,1182638.0,11.448389109769854,82.6044825212787,0.5499567753166271,3,0.6683496184205061,6,0.7037816994862411,6,0.0019172106288586057,6,0.62556477852136871,2,0.77196610636220608,5,0.6898381974082954,6,1613.5407469227864
Burlington-South-Burlington_VT,47,211261.0,1.6070169127288048,92.17886879263092,0.4533387258714009,55,0.5071523380152777,99,0.5121963708110546,99,0.001415325284683799,14,0.24313756110708437,100,0.32947856656101299,100,0.40112470895756364,76,1738.280586387659
Cedar-Rapids_IA,73,319533.0,2.768415155868095,91.80710599531191,0.4530641385563294,56,0.5147245109226154,95,0.5236958209874015,98,0.001143400354199786,32,0.33249918138947615,94,0.4396463334558347,94,0.4492929505628036,64,1841.3881899612395
"Charlotte-Gastonia-Salisbury, NC-SC ",580,2342501.0,22.070086629632176,66.80906432910808,0.44714832497351387,62,0.6022756618528413,43,0.6316881102938593,38,0.0007346625925131864,61,0.4683204065700331,48,0.61411766038073112,48,0.5396670258532804,40,1609.7635565213548
"Chattanooga-Cleveland-Athens, TN-GA ",153,682259.0,11.579620056312926,83.73594192234913,0.4950595651645551,19,0.6052307224747476,36,0.6404731588730606,32,0.001234087433597548,22,0.52022917214291087,28,0.68432121656548284,24,0.5041182239558415,52,1883.7924710283776
"Chicago-Naperville-Michigan City, IL-IN-WI ",2267,9413791.0,17.447561773997318,57.13322082463909,0.4932916090803875,20,0.6562841342010846,9,0.6856786702094467,9,0.0007016195371027537,65,0.56036647580895738,12,0.71961073607374348,13,0.5576018552249997,35,1971.1437464903945
"Cincinnati-Middletown-Wilmington, OH-KY-IN ",510,2127825.0,11.971003254496964,83.57223925839766,0.5017078647775097,15,0.6128396979098383,30,0.6445726579687805,27,0.0011580062203686156,27,0.56790959240717465,11,0.72572654216351795,11,0.5710071937235524,29,2114.9645328608976
"Cleveland-Akron-Elyria, OH ",830,2817772.0,17.639219922690692,76.70425428317125,0.5388798488712964,5,0.6677401287520545,7,0.6897379383352267,8,0.0015712881725494328,10,0.61954174962336817,3,0.77358554824636838,4,0.643604950014195,12,1643.7083831993602
Colorado-Springs_CO,153,695757.0,5.2016724229867615,73.65919423016945,0.4007597020330138,96,0.540357318235109,89,0.5492922426624958,90,0.000488341828195736,90,0.29158280681604748,97,0.40373886968748812,97,0.5170772948773534,50,2064.6856405539997
"Columbia-Newberry, SC ",199,786797.0,33.5362234477254,59.814285006170586,0.4151352315166245,87,0.582792927236897,60,0.6118022617209404,58,0.00046876355734215075,91,0.43857843413339326,57,0.58802028649294091,59,0.4685231029931186,60,2076.8797902113424
"Columbus-Marion-Chillicothe, OH ",474,2015838.0,13.883407297610226,79.87918672036146,0.4754617715866004,34,0.5994357286444172,44,0.6255988263811262,43,0.000837383423751366,51,0.51378796748929167,32,0.68101067019997918,25,0.5619732722058494,32,1966.4497111508019
"Dallas-Fort Worth, TX ",1395,6496810.0,14.739741503907302,53.7356487260671,0.4528337615268323,58,0.6223777818536844,24,0.643161916199156,29,0.0005143283121417164,87,0.47706383485737419,45,0.62952485482520215,44,0.5721207644620541,28,2139.7132914522808
