Metro Area,CSA Code
"New York-Newark-Bridgeport, NY-NJ-CT-PA CSA",408
"Los Angeles-Long Beach-Riverside, CA CSA",348
"Chicago-Naperville-Michigan City, IL-IN-WI CSA",176
"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV CSA",548
"Boston-Worcester-Manchester, MA-RI-NH CSA",148
"San Jose-San Francisco-Oakland, CA CSA",488
"Dallas-Fort Worth, TX CSA",206
"Philadelphia-Camden-Vineland, PA-NJ-DE-MD CSA",428
"Houston-Baytown-Huntsville, TX CSA",288
"Atlanta-Sandy Springs-Gainesville, GA-AL CSA",122
"Detroit-Warren-Flint, MI CSA",220
"Seattle-Tacoma-Olympia, WA CSA",500
"Minneapolis-St. Paul-St. Cloud, MN-WI CSA",378
"Denver-Aurora-Boulder, CO CSA",216
"Cleveland-Akron-Elyria, OH CSA",184
"St. Louis-St. Charles-Farmington, MO-IL CSA",476
"Orlando-Deltona-Daytona Beach, FL CSA",422
"San Juan-Caguas-Fajardo, PR CSA",490
"Sacramento--Arden-Arcade--Yuba City, CA-NV CSA",472
"Pittsburgh-New Castle, PA CSA",430
"Charlotte-Gastonia-Salisbury, NC-SC CSA",172
"Cincinnati-Middletown-Wilmington, OH-KY-IN CSA",178
"Kansas City-Overland Park-Kansas City, MO-KS CSA",312
"Indianapolis-Anderson-Columbus, IN CSA",294
"Columbus-Marion-Chillicothe, OH CSA",198
"Las Vegas-Paradise-Pahrump, NV CSA",332
"Austin-Round Rock-Marble Falls, TX CSA",126
"Milwaukee-Racine-Waukesha, WI CSA",376
"Raleigh-Durham-Cary, NC CSA",450
"Salt Lake City-Ogden-Clearfield, UT CSA",482
"Nashville-Davidson--Murfreesboro--Columbia, TN CSA",400
"Greensboro--Winston-Salem--High Point, NC CSA",268
"Louisville/Jefferson County--Elizabethtown--Scottsburg, KY-IN CSA",350
"Hartford-West Hartford-Willimantic, CT CSA",278
"Oklahoma City-Shawnee, OK CSA",416
"Grand Rapids-Muskegon-Holland, MI CSA",266
"Greenville-Spartanburg-Anderson, SC CSA",273
"Buffalo-Niagara-Cattaraugus, NY CSA",160
"New Orleans-Metairie-Bogalusa, LA CSA",406
"Birmingham-Hoover-Cullman, AL CSA",142
"Albany-Schenectady-Amsterdam, NY CSA",104
"Rochester-Batavia-Seneca Falls, NY CSA",464
"Fresno-Madera, CA CSA",260
"Dayton-Springfield-Greenville, OH CSA",212
"Knoxville-Sevierville-La Follette, TN CSA",314
"Tulsa-Bartlesville, OK CSA",538
"Omaha-Council Bluffs-Fremont, NE-IA CSA",420
"Little Rock-North Little Rock-Pine Bluff, AR CSA",340
"Sarasota-Bradenton-Punta Gorda, FL CSA",494
"Baton Rouge-Pierre Part, LA CSA",132
"Columbia-Newberry, SC CSA",192
"Syracuse-Auburn, NY CSA",532
"Toledo-Fremont, OH CSA",534
"Chattanooga-Cleveland-Athens, TN-GA CSA",174
"Lexington-Fayette--Frankfort--Richmond, KY CSA",336
"Harrisburg-Carlisle-Lebanon, PA CSA",276
"Youngstown-Warren-East Liverpool, OH-PA CSA",566
"Wichita-Winfield, KS CSA",556
"Des Moines-Newton-Pella, IA CSA",218
"Madison-Baraboo, WI CSA",358
"Portland-Lewiston-South Portland, ME CSA",438
"Fort Wayne-Huntington-Auburn, IN CSA",258
"Mobile-Daphne-Fairhope, AL CSA",380
"Huntsville-Decatur, AL CSA",290
"Jackson-Yazoo City, MS CSA",298
"South Bend-Elkhart-Mishawaka, IN-MI CSA",515
"Port St. Lucie-Sebastian-Vero Beach, FL CSA",442
"Lafayette-Acadiana, LA CSA",318
"York-Hanover-Gettysburg, PA CSA",564
"Lansing-East Lansing-Owosso, MI CSA",330
"Johnson City-Kingsport-Bristol (Tri-Cities), TN-VA CSA",304
