GEOid,GEOid2,GEOdisplay,TOTPOP,POP_HISP,POP_NOTHISP,POP_WHITE,POP_BLACK,POP_AMIN,POP_ASIAN,POP_NHPI,POP_OTHER,POP_2MORE
1500000US180731004001,180731004001,"Block Group 1, Census Tract 1004, Jasper County, Indiana",1490,272,1218,1204,1,0,11,0,0,2
1500000US180731008001,180731008001,"Block Group 1, Census Tract 1008, Jasper County, Indiana",1995,123,1872,1845,5,7,1,3,0,11
1500000US180731008002,180731008002,"Block Group 2, Census Tract 1008, Jasper County, Indiana",1062,41,1021,974,31,0,1,0,0,15
1500000US180731008003,180731008003,"Block Group 3, Census Tract 1008, Jasper County, Indiana",882,30,852,835,8,0,2,0,0,7
1500000US180731008004,180731008004,"Block Group 4, Census Tract 1008, Jasper County, Indiana",1098,58,1040,1026,8,0,1,2,0,5
1500000US180731009011,180731009011,"Block Group 1, Census Tract 1009.01, Jasper County, Indiana",3223,190,3033,2978,7,6,9,0,1,32
1500000US180731009021,180731009021,"Block Group 1, Census Tract 1009.02, Jasper County, Indiana",1110,49,1061,1039,4,3,2,0,0,13
1500000US180731009022,180731009022,"Block Group 2, Census Tract 1009.02, Jasper County, Indiana",1171,57,1114,1086,4,4,8,0,0,12
1500000US180731009023,180731009023,"Block Group 3, Census Tract 1009.02, Jasper County, Indiana",3014,93,2921,2893,2,2,8,0,1,16
1500000US180731009024,180731009024,"Block Group 4, Census Tract 1009.02, Jasper County, Indiana",1126,39,1087,1064,7,1,4,0,1,10
1500000US180731010001,180731010001,"Block Group 1, Census Tract 1010, Jasper County, Indiana",2568,100,2468,2422,2,3,27,1,2,11
1500000US180731010002,180731010002,"Block Group 2, Census Tract 1010, Jasper County, Indiana",1027,49,978,970,0,1,2,0,1,4
1500000US180731010003,180731010003,"Block Group 3, Census Tract 1010, Jasper County, Indiana",1247,202,1045,1030,2,4,2,0,3,4
1500000US180731010004,180731010004,"Block Group 4, Census Tract 1010, Jasper County, Indiana",1042,64,978,962,4,0,1,0,4,7
1500000US180731011001,180731011001,"Block Group 1, Census Tract 1011, Jasper County, Indiana",1378,68,1310,1256,24,3,10,0,0,17
1500000US180731011002,180731011002,"Block Group 2, Census Tract 1011, Jasper County, Indiana",981,19,962,951,2,2,2,0,0,5
1500000US180731011003,180731011003,"Block Group 3, Census Tract 1011, Jasper County, Indiana",684,44,640,626,0,5,1,0,0,8
1500000US180731011004,180731011004,"Block Group 4, Census Tract 1011, Jasper County, Indiana",660,42,618,607,4,0,1,0,1,5
1500000US180731012001,180731012001,"Block Group 1, Census Tract 1012, Jasper County, Indiana",856,23,833,825,5,0,1,0,0,3
1500000US180731012002,180731012002,"Block Group 2, Census Tract 1012, Jasper County, Indiana",799,11,788,771,7,2,2,0,0,6
1500000US180731012003,180731012003,"Block Group 3, Census Tract 1012, Jasper County, Indiana",1139,82,1057,1019,12,0,11,0,1,14
1500000US180731012004,180731012004,"Block Group 4, Census Tract 1012, Jasper County, Indiana",1150,71,1079,1059,3,8,1,2,0,6
1500000US180731013001,180731013001,"Block Group 1, Census Tract 1013, Jasper County, Indiana",2113,57,2056,1966,61,1,6,0,1,21
1500000US180731013002,180731013002,"Block Group 2, Census Tract 1013, Jasper County, Indiana",925,24,901,869,5,1,8,0,0,18
1500000US180731013003,180731013003,"Block Group 3, Census Tract 1013, Jasper County, Indiana",738,15,723,711,4,0,1,1,0,6
1500000US180890101001,180890101001,"Block Group 1, Census Tract 101, Lake County, Indiana",1349,44,1305,537,752,4,6,0,2,19
1500000US180890101002,180890101002,"Block Group 2, Census Tract 101, Lake County, Indiana",1048,41,1007,123,878,1,0,0,0,19
