GEOid,GEOid2,GEOdisplay,TOTPOP,POP_HISP,POP_NOTHISP,POP_WHITE,POP_BLACK,POP_AMIN,POP_ASIAN,POP_NHPI,POP_OTHER,POP_2MORE
1400000US17031010100,17031010100,"Census Tract 101, Cook County, Illinois",4854,616,4238,1501,2437,13,150,0,22,162
1400000US17031010201,17031010201,"Census Tract 102.01, Cook County, Illinois",6450,2049,4401,1501,2350,28,299,6,47,229
1400000US17031010202,17031010202,"Census Tract 102.02, Cook County, Illinois",2818,789,2029,839,953,14,139,0,8,94
1400000US17031010300,17031010300,"Census Tract 103, Cook County, Illinois",6236,1169,5067,2836,1722,13,332,16,18,161
1400000US17031010400,17031010400,"Census Tract 104, Cook County, Illinois",5042,480,4562,3097,729,10,551,4,22,171
1400000US17031010501,17031010501,"Census Tract 105.01, Cook County, Illinois",4091,506,3585,1755,1300,14,381,4,27,133
1400000US17031010502,17031010502,"Census Tract 105.02, Cook County, Illinois",3101,340,2761,1672,776,10,239,1,8,87
1400000US17031010503,17031010503,"Census Tract 105.03, Cook County, Illinois",2290,245,2045,1326,303,9,331,2,2,74
1400000US17031010600,17031010600,"Census Tract 106, Cook County, Illinois",6097,1153,4944,2947,1542,8,327,1,18,150
1400000US17031010701,17031010701,"Census Tract 107.01, Cook County, Illinois",3864,1463,2401,1371,761,3,200,2,11,81
1400000US17031010702,17031010702,"Census Tract 107.02, Cook County, Illinois",5143,2423,2720,1170,1155,13,313,2,14,100
1400000US17031020100,17031020100,"Census Tract 201, Cook County, Illinois",3965,952,3013,1124,1182,15,601,0,16,99
1400000US17031020200,17031020200,"Census Tract 202, Cook County, Illinois",6676,943,5733,3602,618,2,1389,0,6,141
1400000US17031020301,17031020301,"Census Tract 203.01, Cook County, Illinois",4750,289,4461,3792,106,14,468,0,9,78
1400000US17031020302,17031020302,"Census Tract 203.02, Cook County, Illinois",4650,952,3698,2625,462,9,502,0,16,95
1400000US17031020400,17031020400,"Census Tract 204, Cook County, Illinois",4168,987,3181,1840,718,14,522,0,8,92
1400000US17031020500,17031020500,"Census Tract 205, Cook County, Illinois",6214,1528,4686,1589,1221,28,1675,0,23,181
1400000US17031020601,17031020601,"Census Tract 206.01, Cook County, Illinois",6353,1010,5343,3455,304,23,1315,0,31,225
1400000US17031020602,17031020602,"Census Tract 206.02, Cook County, Illinois",4340,1139,3201,1556,326,3,1212,0,9,111
1400000US17031020701,17031020701,"Census Tract 207.01, Cook County, Illinois",1704,227,1477,974,42,7,416,0,1,42
1400000US17031020702,17031020702,"Census Tract 207.02, Cook County, Illinois",7194,1174,6020,3126,556,18,2077,0,4,269
1400000US17031020801,17031020801,"Census Tract 208.01, Cook County, Illinois",5458,1467,3991,2294,386,10,1169,2,29,121
1400000US17031020802,17031020802,"Census Tract 208.02, Cook County, Illinois",6963,1773,5190,1668,746,19,2547,0,23,222
1400000US17031020901,17031020901,"Census Tract 209.01, Cook County, Illinois",5221,1526,3695,1300,1061,22,1173,1,38,143
