
City,Total polulation,Percent Black,Percent White,Edge,Edge rank,HEdge,HEdge rank,HEdgeInfinity (True),HEdgeInfinity (True) rank,Typo HEI,Typo HEI rank,Dissimilarity,Dissimilarity rank,Gini,Gini rank,Moran's I,Moran's I rank
"Wichita-Winfield, KS ",627756.0,7.598015789574293,77.98603278981005,0.45122742339924576,49,0.5740634644937522,52,0.6075220767965376,48,0.0008936231013742259,39,0.44177789076137736,47,0.59288743571955516,47,0.36839001485400313,62
"Baton Rouge-Pierre Part, LA ",813587.0,35.85013034869043,59.09017720292974,0.46395878741837016,41,0.6255885695928723,17,0.6682424243854965,12,0.0005980479503929312,60,0.52637749135451772,23,0.69186784188739714,21,0.3617980879251349,63
"Lexington-Fayette--Frankfort--Richmond, KY ",671373.0,8.999021408367629,84.57116982660905,0.45094499786762765,50,0.5524542010113809,63,0.5872036343388728,58,0.001153217961110039,25,0.40805004936146499,60,0.55326580392437275,61,0.30294390101060564,70
"Albany-Schenectady-Amsterdam, NY ",1139735.0,6.109929062457501,87.17815983540034,0.4759586926038411,29,0.5721489655340084,53,0.6062237834923047,51,0.0014114537925764541,14,0.48649326549051025,36,0.63470710639584083,39,0.5757667938518121,21
"Toledo-Fremont, OH ",691565.0,12.654052764382234,80.46864719874488,0.4763379273374266,28,0.5936085685478386,42,0.6071029048327491,50,0.0011520238783716253,26,0.48906486770715629,34,0.63560628706634281,38,0.651262378263468,9
"Columbia-Newberry, SC ",786797.0,33.5362234477254,59.814285006170586,0.4151352315166245,65,0.582792927236897,48,0.6118022617209404,47,0.00046876355734215075,66,0.43857843413339326,49,0.58802028649294091,51,0.4685231029931186,48
"Youngstown-Warren-East Liverpool, OH-PA ",660612.0,9.467433228581982,87.66416595520518,0.5122945282245782,11,0.6063876235184728,29,0.6452521276706614,21,0.0021366730742035196,4,0.60142478473729755,6,0.75075645317196482,7,0.4973923657319528,42
"Lansing-East Lansing-Owosso, MI ",515581.0,7.836402039640716,83.49454304949174,0.4623730419416527,43,0.570318558202487,56,0.5894197021374501,57,0.0013213134420376445,17,0.47302128807017219,42,0.60568385209231612,44,0.5162851678891051,40
"Buffalo-Niagara-Cattaraugus, NY ",1182638.0,11.448389109769854,82.6044825212787,0.5499567753166271,3,0.6683496184205061,6,0.7037816994862411,6,0.0019172106288586057,7,0.62556477852136871,2,0.77196610636220608,5,0.6898381974082954,5
"Syracuse-Auburn, NY ",720451.0,7.471292287747536,87.18774767472041,0.5109415633012925,12,0.6070181053958947,28,0.6249638953937207,35,0.0019798828995607766,6,0.55583270948562913,12,0.70523389608583542,15,0.6834162429149778,6
