
City,Total polulation,Percent Black,Percent White,Edge,Edge rank,HEdge,HEdge rank,HEdgeInfinity,HEdgeInfinity rank,Dissimilarity,Dissimilarity rank,Gini,Gini rank,Moran's I,Moran's I rank
Albany-Schenectady-Troy_NY,964674.0,5.39850768238804,90.45750170523928,0.5214497575110087,39,0.5900890076383999,49,0.0041448967158463955,18,0.62220933804521794,30,0.77989466424146425,33,0.5745812124315484,33
Atlanta-Sandy-Springs-Roswell_GA,4193590.0,28.874329631652117,61.42968196700201,0.577933168964492,15,0.7196771584482053,11,0.0008634583097319834,65,0.61301343220045379,35,0.77463740014271276,34,0.6685594903812633,18
Austin-Round-Rock_TX,1306377.0,7.647562686728257,63.411786949709004,0.5006898005176545,48,0.5821668562602618,51,0.0018252259341447496,49,0.43235235782427162,65,0.59419775689613974,64,0.6170384263352147,27
Baton-Rouge_LA,799370.0,34.74198431264621,62.257527803144974,0.49752560131533563,54,0.6524617884818865,27,0.0009429258365037253,63,0.5759935762716154,44,0.74332344383314719,44,0.4923852325762199,50
Birmingham-Hoover_AL,1248630.0,25.417217270128063,72.00876160271658,0.5852788992811732,12,0.720373333953864,10,0.0014976102939135388,53,0.66664919582067306,22,0.83538037401876142,20,0.6539377285326425,19
Boston-Cambridge-Newton_MA-NH,4288162.0,5.772263268038847,82.67591103134629,0.5772173635198726,16,0.6633800131024749,22,0.004606279630978007,11,0.63890941765205433,29,0.79822100264106599,28,0.7398709316150219,9
Buffalo-Cheektowaga-Niagara-Falls_NY,1209596.0,11.163231359892062,84.15884311786745,0.6345245066019302,7,0.7414434653397206,8,0.004424340767585407,14,0.76421555825592435,5,0.89923306906496969,5,0.7224186809400406,12
Charlotte-Concord-Gastonia_NC-SC,1938729.0,19.937391971750564,73.70617554077955,0.4726562904849924,65,0.5941536977267294,47,0.0009067925079772454,64,0.49467786577597284,58,0.65581917914503873,57,0.4803795778080944,54
Chattanooga_TN-GA,603482.0,11.432155391544404,85.75168770568136,0.5438405994084963,30,0.6425767753887193,29,0.00226897558628395,42,0.68436437927068494,18,0.83528550680093994,21,0.5147311342062058,42
Chicago-Naperville-Elgin_IL-IN-WI,9079169.0,18.48562351906876,61.309542756611314,0.6964772079200385,2,0.8086234913816546,2,0.002716297983853245,36,0.78591743788869395,3,0.91596624459663722,3,0.5936884419918228,30
Cincinnati_OH-KY-IN,2171573.0,10.726326031867222,86.71562042814126,0.5572158021022151,24,0.6578828752487835,23,0.0028367500195293047,35,0.73487916962921074,7,0.87306085806300004,8,0.5370059054543679,40
Cleveland-Elyria_OH,2295045.0,18.048491423915436,77.32724194950426,0.689136603752162,3,0.7999777761747708,3,0.004215630912779417,17,0.77212787866992638,4,0.91454595628952007,4,0.7929623719168911,4
Columbia_SC,791766.0,34.968286084524976,61.51741802502254,0.4329423454095833,69,0.5915230834600143,48,0.000572253275418166,69,0.44062201979333293,63,0.61011758508260183,62,0.48089526156564916,53
Columbus_OH,1812357.0,11.442502774011963,84.59735030129274,0.5392827574308326,33,0.63866731857668,32,0.0021083223466922723,46,0.64688885043811417,27,0.81487983687712628,25,0.62836478490629,24
Dallas-Fort-Worth-Arlington_TX,5220560.0,13.649225370458343,61.42314234488254,0.5390660489194679,34,0.6567917688896264,24,0.0015709352802845515,51,0.54656692437496435,52,0.71264473763039993,51,0.5908530983970008,31
Dayton_OH,918635.0,13.335546762315827,83.96675502239736,0.5980852674190792,10,0.71075181016381,12,0.002629137965923096,37,0.73175087281549112,8,0.87418127023482872,7,0.7255238970376179,11
Denver-Aurora-Lakewood_CO,2271175.0,5.019516329653153,74.13114357105903,0.5459990924098008,29,0.6259603396099689,37,0.0038875456658393507,21,0.62028477356694245,33,0.75631674486589895,40,0.6364154366293319,22
Des-Moines-West-Des-Moines_IA,539152.0,3.418887438050865,90.82818945306704,0.512418769110148,43,0.5562975509278479,61,0.005113858334895478,5,0.58250902784861913,41,0.75067975492695715,41,0.5695876435043155,35
Detroit-Warren-Dearborn_MI,4531715.0,22.494441949681303,72.1277706122296,0.7445610566399994,1,0.8474324369258236,1,0.004896675683102912,8,0.84661254489096827,1,0.94257329398114664,1,0.7840647776038427,5
Fort-Wayne_IN,475034.0,7.892487695617577,87.46068702450772,0.581416229255117,13,0.6775021322221509,19,0.004255948566650714,16,0.70830093770936109,13,0.85879886326053756,12,0.7942688473458689,3
Fresno_CA,858318.0,5.088090894050923,42.9125335831242,0.4984390758213039,52,0.581062659380617,52,0.002896770417977373,34,0.44967959980110545,62,0.60819805934476656,63,0.45571978499561083,56
Grand-Rapids-Wyoming_MI,1077071.0,5.12965254843924,87.35162305920409,0.5496607571105572,28,0.6239386938428223,39,0.004045748315218213,19,0.66089270077458773,23,0.81787652875473071,23,0.668860481801082,17
Greensboro-High-Point_NC,808614.0,20.568033697165767,73.46682100483048,0.4877026636128551,61,0.6140589846200927,42,0.0010140682711848705,62,0.50048637889266312,57,0.67542420876789977,54,0.4927370158324353,49
Greenville-Anderson-Mauldin_SC,896076.0,16.618456470210116,79.85293658127213,0.4394953362824112,67,0.5451871519601593,65,0.0007167815841558045,68,0.43582406377325339,64,0.59261153160406554,65,0.38185855645106825,62
Harrisburg-Carlisle_PA,640443.0,7.442660783239102,88.58524490079523,0.5419057360203443,31,0.6259405828804678,38,0.0029796486050231137,32,0.72169441951024882,10,0.85579942821733446,13,0.6374896323177952,21
Hartford-West-Hartford-East-Hartford_CT,1361754.0,8.001592064352298,81.57420503262703,0.5620993944980955,21,0.6508962140352101,28,0.0037710868771862836,22,0.62144909845288865,31,0.78343624591036531,31,0.6823715168038874,16
Houston-The-Woodlands-Sugar-Land_TX,4684325.0,17.009366344137096,50.02714371867879,0.5627077334609674,20,0.6975966816944571,14,0.0014457704275258319,54,0.5621326386669605,48,0.73098138518912814,48,0.512853315104441,43
Huntsville_AL,427125.0,18.455019022534387,77.55177055896986,0.48301869904379424,63,0.6045832218468721,44,0.001341001611209268,57,0.56746518189204165,47,0.73572611818557165,47,0.5168692031731098,41
Indianapolis-Carmel-Anderson_IN,1781838.0,12.593569112343546,83.58228974800178,0.5783261840575744,14,0.6829688765619997,18,0.0023316988787358077,41,0.71661966785495657,11,0.86773599280202862,9,0.6466998359304474,20
Jackson_MS,638021.0,46.45881561892163,51.68262486657963,0.458815973005791,66,0.6274747506920968,35,0.0007850511588798291,66,0.53587662650959178,53,0.69819361465428909,53,0.2819257314952685,66
Kansas-City_MO-KS,1911863.0,11.847030880350736,81.42947481069511,0.5893503096731597,11,0.6920014027072808,16,0.0031011663350615573,31,0.69442633077962568,16,0.83542823070399375,19,0.6275182133428289,25
Kingsport-Bristol-Bristol_TN-VA,437893.0,1.9041181293146956,96.75834050784096,0.49237616996920086,59,0.5078945105607322,68,0.004685563032541407,10,0.48272867826066851,60,0.64177186033355282,59,0.035579165462475054,70
Knoxville_TN,904191.0,4.799649631549086,92.89652296915143,0.5186838081126637,41,0.574252912662459,57,0.003314141491807533,24,0.58539236206418832,39,0.76684014594975003,36,0.6011352859406044,29
Lafayette_LA,527624.0,24.032833987839826,73.09428684062893,0.42868313107391537,70,0.5615889380213106,60,0.0007679600707470259,67,0.46326467931990545,61,0.6186599223220095,61,0.39086486821836514,61
Lansing-East-Lansing_MI,535909.0,6.90546342755953,86.43146504350551,0.5001838153324446,49,0.5679988806039166,58,0.0032271762628266914,28,0.58434332094032404,40,0.7432148911025257,45,0.5619240599525515,37
