
City,Total polulation,Percent Black,Percent White,Edge,Edge rank,HEdge,HEdge rank,HEdgeInfinity (True),HEdgeInfinity (True) rank,Typo HEI,Typo HEI rank,Dissimilarity,Dissimilarity rank,Gini,Gini rank,Moran's I,Moran's I rank
Albany-Schenectady-Troy_NY,955015.0,4.063182253681879,93.12251640026597,0.48989700155032456,45,0.5562736521652493,74,0.5944126088694179,71,0.0020103399686136497,30,0.47541431890377933,63,0.62808128473133229,63,0.4604897249019872,55
Ann-Arbor_MI,341798.0,9.818079684492009,84.40745703602713,0.44114692837987884,84,0.5393317030250079,85,0.5790316861279589,81,0.0010597603792838325,59,0.43457232186788836,80,0.58867741475005408,76,0.22206259436193876,94
Athens-Clarke-County_GA,192110.0,21.156108479516945,76.27453021706314,0.39758450434073217,103,0.530130235473681,87,0.5747292985598141,85,0.0005944398695784529,83,0.38666697072418049,89,0.52236035163842409,91,0.35369490641494117,76
Atlanta-Sandy-Springs-Gainesville_GA-AL,3082308.0,25.126463675920775,71.07852297693806,0.5453800026075142,16,0.690033929092862,12,0.7151186805962318,16,0.0006971369567272545,75,0.59919547759642555,24,0.75820526471716287,23,0.6550623665913905,15
Austin-Round-Rock_TX,912707.0,8.719227528659253,68.39982601207178,0.42827627889907494,90,0.5796155229082076,59,0.6002398282279553,68,0.0006547188685082451,79,0.40834404019046383,86,0.55617214497670697,82,0.5481133177572085,29
Baton-Rouge_LA,723793.0,32.91037630924864,64.70648375985952,0.4733870104362604,66,0.6278499201474756,28,0.678684666958396,23,0.0007711959878216761,72,0.54012070551872327,42,0.70207480330729366,38,0.34875640513059136,77
Birmingham-Hoover_AL,956844.0,26.386955449373144,72.58612689215796,0.5876301452270396,5,0.7280164076206831,5,0.7752870144233333,3,0.001618661615550312,42,0.67996846853787563,10,0.83166330106334085,6,0.6659710108946473,12
Bloomington_IN,196909.0,1.736335058326435,95.66804970824087,0.47818401749776357,60,0.5189020522998745,94,0.5340455775364704,96,0.001915053592321683,32,0.46292372214859784,69,0.58854994546021555,77,0.3585163264298829,74
"Boston-Cambridge-Newton,MA-NH",4138349.0,5.217008038713023,86.86812059591881,0.5171418358998033,30,0.6175489455715462,38,0.6490612707677291,39,0.0015038379035637202,45,0.55604826977310473,38,0.71234469147692037,35,0.6166336754241117,19
Boulder_CO,262419.0,0.7339407588627347,89.23020055712429,0.43672825733229576,86,0.5106234006881551,100,0.5212645616777453,100,0.0008318100465139432,68,0.27025545586688049,103,0.37205259150132752,103,0.2241561729876327,93
Bridgeport-Stamford-Norwalk_CT,968270.0,8.337137368709142,81.32359775682403,0.5055059590130064,38,0.6250698099343004,31,0.6783165208106152,25,0.0014049005842984344,48,0.59710031430050503,25,0.72930269426490135,29,0.4825179977252762,52
Buffalo-Cheektowaga-Niagara-Falls_NY,1249722.0,9.670070623706712,86.74841284701718,0.5768896819332872,9,0.6890033174195112,13,0.7383554655816249,11,0.0021315946474561175,27,0.69495238742685028,6,0.83180606801331103,5,0.6717921037599528,11
Burlington-South-Burlington_VT,245432.0,0.4807849017243065,97.6307083020959,0.48358897455019795,52,0.5018341988334203,105,0.5035023739892568,105,0.0037640578224471468,3,0.24102182972410496,105,0.3199466821822074,105,0.33545712793568727,83
Cedar-Rapids_IA,268174.0,1.3632939807736768,97.04594778017257,0.4841659383250249,51,0.5109757886527361,99,0.5193297419388746,102,0.002745354731229018,11,0.37431942965671128,93,0.52981153793482272,88,0.33776402031426045,82
Charlotte-Concord-Gastonia_NC-SC,1564317.0,19.50295240670529,78.57179842704515,0.45584035026623143,74,0.578406685394928,60,0.6259840576597172,54,0.0008241032121519306,69,0.47389384732371104,64,0.64198218519570904,60,0.38198971320226893,68
Chattanooga_TN-GA,546462.0,11.112026087815805,87.41650837569675,0.5203826458534382,28,0.6185117951068901,37,0.6891097218158749,20,0.0018180016336974555,39,0.63765810886083563,18,0.78714988730495394,17,0.46127709744386663,54
Chicago-Naperville-Elgin_IL-IN-WI,8326535.0,18.442221164025614,67.54238107448056,0.5723520145178072,11,0.7148703047757439,7,0.7528991522270847,7,0.0009770475089845958,66,0.66584313738652712,13,0.81665794529226332,11,0.5006129782098256,44
Cincinnati_OH-KY-IN,2004607.0,10.267848012104118,88.2903232404157,0.5393306850643306,18,0.6418862894768316,21,0.7168473887911699,14,0.0021506041173596246,26,0.68761535787948358,7,0.83083262343459008,8,0.48671085661787167,49
Cleveland-Elyria_OH,2269786.0,16.635753326525055,79.93846115889339,0.6509890845068436,2,0.770778554185297,2,0.7942324612528675,2,0.0030260935993016358,8,0.73380874304901011,2,0.87027812831994678,2,0.7631729724461904,5
Colorado-Springs_CO,445156.0,6.236690059215197,82.72021493588765,0.42545078367668854,94,0.5316753752438972,86,0.5471437928232783,90,0.0005821565809122146,85,0.33339263483830656,99,0.45089433443609461,100,0.4069565718720823,64
Columbia_SC,693939.0,34.349993299122836,63.67303177945035,0.4328704901731628,89,0.590319418673473,56,0.6322666791942901,48,0.0005720038746817637,87,0.45463785956937885,75,0.6166476887967034,64,0.29498310561453767,88
Columbus_OH,1626497.0,10.284002983098032,87.39622636869296,0.5237924051632643,25,0.6241124801146527,32,0.6598643512699303,32,0.001275346435946561,52,0.59465174959061107,26,0.76599536830092396,21,0.5279517544122423,34
Dallas-Fort-Worth-Arlington_TX,4131589.0,13.431127829994708,70.8771128977253,0.47768858413082627,61,0.6239728914898264,33,0.6493855697494003,38,0.0006778348482231206,78,0.49570562809203927,55,0.65154343825556038,57,0.5167585913756177,37
Dayton_OH,922046.0,12.296566548740518,85.74203456226695,0.5795930637747324,8,0.6967445937993701,11,0.7350838619603013,12,0.0020260820067994198,29,0.6792835915119626,11,0.82038063142982132,10,0.7127934167393702,7
Denver-Aurora-Lakewood_CO,1786543.0,5.218346269863082,79.44348386800654,0.46893773027711255,68,0.5937107198778663,50,0.6079752675704581,65,0.0008909917501997449,67,0.43029442381343186,83,0.5811833014678075,80,0.5474215421798664,30
Des-Moines-West-Des-Moines_IA,478302.0,3.102851336603234,93.87667206074823,0.4926500664760941,42,0.5515416544572429,78,0.5796101462053214,80,0.0025625445304650104,15,0.49814322864245908,53,0.65719371932353232,54,0.5354873120505182,32
Detroit-Warren-Dearborn_MI,4424691.0,21.35353632603949,75.00871812291525,0.6720892131054417,1,0.7932867527339513,1,0.8203788758882113,1,0.0026030413959846413,14,0.77507120482422265,1,0.8807050321433324,1,0.7654680012416547,3
"Duluth,MN-WI",265245.0,0.4814416859884258,96.3599690851854,0.47984602982503366,57,0.5075663893795431,101,0.5223719538331864,99,0.004409416191875839,1,0.36337584616772689,95,0.47659032748611069,97,0.2322361476260256,92
El-Paso_TX,629158.0,3.3021911825010566,25.853601162188195,0.40969095738495653,102,0.554255535709125,76,0.5938711657401095,72,0.00041121660167256155,100,0.45695632266610064,74,0.58973646753573417,75,0.10425900133410956,100
Flint_MI,505061.0,16.658977826440765,80.05765640189996,0.5796403612561837,7,0.7057763454026812,8,0.7720994246497797,4,0.0021859496279825765,22,0.71069125794543331,3,0.83097628371293397,7,0.5925466601068725,22
Fort-Wayne_IN,440812.0,6.870275763817682,90.55379617614764,0.5377278705660734,19,0.6313171419199283,24,0.6580344161132006,33,0.002685460663120679,12,0.61592642110186335,20,0.76298216546964992,22,0.75155142029626,6
Fresno_CA,660877.0,4.737795384012456,51.072438592960566,0.4253979594565487,95,0.5967893773247793,48,0.6378938496358119,44,0.0004995835414599955,92,0.44180914377860731,77,0.58499200117965688,78,0.39805617316756586,66
Grand-Rapids-Wyoming_MI,935360.0,4.553861614779336,91.1766592541909,0.5098733872510185,33,0.5932090266075877,53,0.6221709080007887,57,0.001892509563684141,33,0.52223461167519269,45,0.66684032615742872,49,0.646872788213987,16
Greensboro-High-Point_NC,687816.0,19.26343673307978,78.89232003908022,0.47722052623317307,63,0.6037290005482207,43,0.6563068109369452,34,0.0011348442862810554,57,0.48802241136336472,57,0.66498171192672728,51,0.45721366041568035,56
Greenville-Anderson-Mauldin_SC,771306.0,16.801373255232036,81.9070511573876,0.43469705743958376,87,0.543260862282124,83,0.5832913082569038,74,0.0008210155745023295,71,0.43124630644464879,82,0.58437798648629335,79,0.28525199127190204,90
Harrisburg-Carlisle_PA,610598.0,6.329860235375811,91.11559487584303,0.5249198495585311,24,0.604927293589923,42,0.6526157642059855,36,0.0016875575810733896,41,0.63954264890956702,17,0.78209632710845078,18,0.4851002532897536,50
Hartford-West-Hartford-East-Hartford_CT,1355747.0,6.864260072122601,85.40052089364755,0.551049795256068,14,0.6629587668614803,16,0.6877780574626243,21,0.0018429954536630325,34,0.6054451694644265,22,0.75234175108481371,25,0.664833397481296,13
Houston-The-Woodlands-Sugar-Land_TX,3750701.0,17.456550122230485,58.09849945383543,0.450372751139643,78,0.6167012595601281,39,0.6458680835282397,41,0.00040748821525439884,101,0.49731940874119906,54,0.65519296847689357,55,0.3857682372068593,67
Huntingdon_PA,115868.0,1.7960092519073427,97.51441295267028,0.4861268743528364,48,0.5138324476200795,96,0.5549539031514885,89,0.003019446489024147,9,0.57619143675041207,33,0.6896935128066698,41,-0.04127224623582493,104
Huntsville_AL,371121.0,16.85838311494095,80.36193047550529,0.4443293965885189,80,0.5665071606254168,66,0.6203861612303159,60,0.0010113174150055198,62,0.51869487277433501,48,0.66564013707924019,50,0.43986496336960146,60
Indianapolis-Carmel-Anderson_IN,1558436.0,11.716361788357045,86.52482360520419,0.5660039094505877,12,0.6763898704458271,14,0.7185649512398876,13,0.002153610277634211,25,0.68196978448266754,9,0.82874719815798037,9,0.6594931707222855,14
Iowa-City_IA,160506.0,1.325184105267093,94.129191432096,0.4681194566839525,69,0.5125963610942271,98,0.53863054098039,94,0.0021947421632567557,21,0.42482349705106842,84,0.55490018544933972,83,0.10453987471181367,99
Ithaca_NY,141287.0,2.2755101318592654,91.94830380714433,0.46289946763670486,71,0.5284847759579118,88,0.5556181627485639,88,0.0019353952390986345,31,0.48887240730349196,56,0.60342434506254694,67,0.33993140778760494,81
"Jacksonville,FL",919116.0,19.703932909447776,76.0032465978179,0.49146338443356974,44,0.6279465180959931,27,0.6670062396636862,29,0.0007150237791427097,74,0.48735090551723681,58,0.65259484881947649,56,0.49531790325384023,47
Junction-City_KS,67963.0,17.185821697099893,74.11827023527508,0.394588770926029,104,0.5408792513073578,84,0.5700123606162102,86,0.00031889811542740095,103,0.44166176491649722,78,0.5416388793607646,85,0.05096100198180162,102
Kansas-City_MO-KS,1729840.0,11.603269666558756,84.20218054849003,0.5449899508257579,17,0.6526475797830379,19,0.6720316670557664,26,0.0015458613805071787,44,0.60510555692201173,23,0.74880096716936451,26,0.557901695262484,26
Kingsport-Bristol-Bristol_TN-VA,275678.0,1.8764645709849899,97.34291455974,0.4861383391485637,47,0.506756163043752,102,0.5192324293851736,103,0.0038443794672888094,2,0.38741605349960001,88,0.53243529455859484,87,0.06348638969247834,101
Knoxville_TN,782907.0,5.04031768779689,93.559388279834,0.5057771134715966,37,0.5695783910633209,64,0.6032128201618221,66,0.00227833963604948,19,0.51216451046702638,50,0.68771968987138998,42,0.524774456071161,35
Lafayette-West-Lafayette_IN,242730.0,1.1712602480121947,95.34379763523256,0.47518830873722406,65,0.5201867975938117,92,0.5415837708999978,93,0.0023587304677417237,16,0.4640428013640634,68,0.60078757722356535,71,0.4207358768491044,63
Lancaster_PA,549519.0,2.0810927374667667,93.84370695098805,0.5293219396524995,22,0.5998512698969429,46,0.6287385740222612,52,0.0031443579503264703,7,0.54135564760330768,41,0.68195572027873619,43,0.6334945570828965,17
Lansing-East-Lansing_MI,432674.0,7.118754535747468,86.39830449715028,0.4577293261856562,73,0.5525545773803812,77,0.5757709675438709,83,0.0012695863666535349,54,0.45955215057020821,73,0.60124960683762163,70,0.45389528327964657,57
Las-Vegas-Henderson-Paradise_NV,790129.0,8.949677837416422,76.10491451395912,0.41845276449645674,98,0.5464591394554722,82,0.5605091265177973,87,0.00041669075177439084,99,0.33352848822086018,98,0.45515229090465198,99,0.3754375467279383,71
