
City,Total polulation,Percent Black,Percent White,Edge,Edge rank,HEdge,HEdge rank,HEdgeInfinity,HEdgeInfinity rank,Dissimilarity,Dissimilarity rank,Gini,Gini rank,Moran's I,Moran's I rank
Albany-Schenectady-Troy_NY,955015.0,4.063182253681879,93.12251640026597,0.518712401641179,24,0.5764196408777728,30,0.0044050990142578865,24,0.61645269108074296,22,0.77897203601897391,22,0.46000105093096544,30
Ann-Arbor_MI,341798.0,9.818079684492009,84.40745703602713,0.4698900914935221,53,0.5434262323909568,36,0.001850078143692666,43,0.52506773584297739,35,0.68850536625294489,33,0.17381622303826572,53
Athens-Clarke-County_GA,192110.0,21.156108479516945,76.27453021706314,0.40756491254332344,60,0.5332995672511606,39,0.0006994079649414659,53,0.42767602070720057,53,0.5659149227076915,51,0.3115796047333262,47
Austin-Round-Rock_TX,912707.0,8.719227528659253,68.39982601207178,0.5123617977427825,28,0.600432194232154,25,0.002411100265197479,41,0.48231245576452286,42,0.6514861202213218,40,0.6670213868616096,8
Bloomington_IN,196909.0,1.736335058326435,95.66804970824087,0.49177461875119877,46,0.5091611685048707,48,0.004825709246154342,22,0.54258010647875266,32,0.68276796385101957,35,0.2688133985745498,49
"Boston-Cambridge-Newton,MA-NH",4138349.0,5.217008038713023,86.86812059591881,0.5867941594031076,7,0.6711827321575816,11,0.0051016251177411825,21,0.66050620346873956,17,0.81535589387908503,17,0.6837987261805862,5
Boulder_CO,262419.0,0.7339407588627347,89.23020055712429,0.4942746948536908,40,0.5015863833476795,56,0.011234534816143553,7,0.32095790736025065,59,0.42918655970166392,59,0.3784323374465758,37
Bridgeport-Stamford-Norwalk_CT,968270.0,8.337137368709142,81.32359775682403,0.5286210625152385,20,0.6110326689124143,22,0.0034229851252834376,33,0.64062327647021422,21,0.77930977756174613,21,0.3895321131776436,36
Burlington-South-Burlington_VT,245432.0,0.4807849017243065,97.6307083020959,0.4967864699590785,36,0.5007291752226604,60,0.018886641688616278,5,0.33448598654848549,57,0.43643403367514016,57,0.33314399651224386,44
Cedar-Rapids_IA,268174.0,1.3632939807736768,97.04594778017257,0.4970206492579359,34,0.5136973445505787,46,0.00628422839672044,16,0.55425505741726222,30,0.73278053651707831,29,0.3377733620712154,43
