
City,Number of Tracts,Total polulation,Percent Black,Percent White,Edge,Edge rank,HEdge,HEdge rank,Edge Infinity,Edge Infinity rank,Edge 0.,Edge 0. rank,Edge 0.5,Edge 0.5 rank,Edge 2,Edge 2 rank,Edge 10,Edge 10 rank,Population standard deviation,Degree average,Degree standard deviation,Max degree,Min degree
"Albany-Schenectady-Amsterdam, NY ",306,1139735.0,6.109929062457501,87.17815983540034,0.4759586926038411,33,0.5721489655340084,67,0.5040946446087875,32,0.47076668309050707,34,0.47358211356399216,33,0.479750521273893,31,0.4923787160864465,30,1637.2086736621354,5.3137254901960782,1.9602940563572258,13.0,1.0
Ann-Arbor_MI,127,453920.0,10.819527670074022,75.07556397603102,0.41800702722798666,84,0.5513886833676813,81,0.44282133501968035,86,0.41218418469989637,84,0.41540137944875194,83,0.42196981596650135,84,0.43366585049840845,85,1439.7765525153695,4.5826771653543306,2.1787844074627913,12.0,1.0
Athens-Clarke-County_GA,46,192541.0,19.311211638040728,67.78556255550767,0.39572850404579907,98,0.5494423070262022,82,0.4384847558390177,88,0.3863623058597395,99,0.3915085300777243,99,0.40223827838753096,97,0.4221359155025608,92,1914.5160479910119,4.9565217391304346,1.2503307690911658,8.0,2.0
"Atlanta-Sandy Springs-Gainesville, GA-AL ",1019,5466685.0,31.846631002152126,52.96394432823548,0.4681752914355533,42,0.6372294322597547,13,0.4966806304693182,36,0.46279187751158307,44,0.4657158410012865,44,0.4720827371680871,43,0.4849483152124272,38,2553.7648761879364,5.5073601570166835,1.4635562368801109,12.0,1.0
"Austin-Round Rock-Marble Falls, TX ",358,1689630.0,7.173759935607205,57.46843983594041,0.4124538721138973,90,0.5811849248936636,62,0.4312883138006993,93,0.4085283427744858,88,0.4106763696526856,89,0.4152243939089267,90,0.4239084525325635,91,2336.5145894680213,5.3296089385474863,1.6789080526656537,12.0,1.0
"Baton Rouge-Pierre Part, LA ",157,813587.0,35.85013034869043,59.09017720292974,0.46395878741837016,47,0.6255885695928723,21,0.5088573516329006,28,0.45526247669838604,50,0.45999454566419556,48,0.47022695694993843,44,0.49060842116121417,32,2361.9107588209558,5.2484076433121016,1.7690043655378294,11.0,1.0
"Birmingham-Hoover-Cullman, AL ",282,1190502.0,26.69798118776785,67.88934415901863,0.51688894284647,9,0.6660995443370886,8,0.5428544774825108,10,0.5117019588508432,9,0.5145310120877182,9,0.5205950170534718,9,0.5324613911088402,9,1886.359897659461,5.4397163120567376,1.5315536742503684,10.0,2.0
Bloomington_IN,52,236620.0,2.4008959513143435,90.2696306313921,0.4490012869138733,61,0.5245391681665412,92,0.46090983995529233,68,0.4463501614638007,59,0.4478086421212996,61,0.450835129441787,64,0.45639478136300826,67,1245.0241448669883,4.6538461538461542,2.4328253232105337,14.0,1.0
"Boston-Worcester-Manchester, MA-RI-NH ",1679,7339152.0,5.546022210740423,80.01929923239088,0.4898198218079972,22,0.6137539419407325,27,0.5155958262460332,24,0.48496164876238174,22,0.48759993609996977,22,0.49334801734712436,23,0.5049764850365718,23,1648.5073245049014,5.4187016081000596,1.7518224611476962,22.0,0.0
Boulder_CO,89,369978.0,0.7286919762796708,80.8402121207207,0.4057609804731706,92,0.5176097542355979,93,0.42189143309709837,97,0.4020632021431936,91,0.40410222923811,92,0.4082963052451744,92,0.4158689194640186,96,1923.6920632334072,4.7640449438202248,2.0880746032031161,11.0,1.0
